year, name, alpha_plus, alpha_minus, lambda, phi_plus, phi_minus, k, strategy, fuzzy_action1, fuzzy_action2, fuzzy_action3, fuzzy_action4, fuzzy_action5, fuzzy_action6, lp_action1, lp_action2, lp_action3, income
0, Farm05, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 46838.0, 
1, Farm01, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 62349.0, 
1, Farm02, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 71751.0, 
1, Farm03, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 61851.0, 
1, Farm04, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 49066.0, 
1, Farm05, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 49754.0, 
2, Farm01, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 68465.0, 
2, Farm02, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, OPTIMIZATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 36578.0, 
2, Farm03, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, IMITATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 39402.0, 
2, Farm04, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 66951.0, 
2, Farm05, 0.4, 0.6, 0.8, 0.2, 0.2, 0.8, OPTIMIZATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 31824.0, 
0, Farm01, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 52661.0, 
0, Farm02, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 50782.0, 
0, Farm03, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 50198.0, 
0, Farm04, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 76294.0, 
0, Farm05, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 57020.0, 
1, Farm01, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 56348.0, 
1, Farm02, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 48475.0, 
1, Farm03, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 54990.0, 
1, Farm04, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 42548.0, 
1, Farm05, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 35905.0, 
2, Farm01, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 37681.0, 
2, Farm02, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 41202.0, 
2, Farm03, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 55776.0, 
2, Farm04, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 41559.0, 
2, Farm05, 0.6, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 57069.0, 
0, Farm01, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 40082.0, 
0, Farm02, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 55409.0, 
0, Farm03, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 58885.0, 
0, Farm04, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 30355.0, 
0, Farm05, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 51984.0, 
1, Farm01, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 35058.0, 
1, Farm02, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 43711.0, 
1, Farm03, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 52319.0, 
1, Farm04, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 35927.0, 
1, Farm05, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 53355.0, 
2, Farm01, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 50835.0, 
2, Farm02, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 42961.0, 
2, Farm03, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 53832.0, 
2, Farm04, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 64735.0, 
2, Farm05, 0.8, 0.6, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 42025.0, 
0, Farm01, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 59774.0, 
0, Farm02, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 64771.0, 
0, Farm03, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 78378.0, 
0, Farm04, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 49697.0, 
0, Farm05, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 45434.0, 
1, Farm01, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 47056.0, 
1, Farm02, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 55460.0, 
1, Farm03, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, OPTIMIZATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 32439.0, 
1, Farm04, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 49771.0, 
1, Farm05, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 52757.0, 
2, Farm01, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 47093.0, 
2, Farm02, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 56723.0, 
2, Farm03, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, OPT_OUT, NA, NA, NA, NA, NA, NA, NA, NA, NA, 61891.0, 
2, Farm04, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, OPTIMIZATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 33442.0, 
2, Farm05, 0.2, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 44691.0, 
0, Farm01, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 54684.0, 
0, Farm02, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 55989.0, 
0, Farm03, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 57399.0, 
0, Farm04, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 67750.0, 
0, Farm05, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 61424.0, 
1, Farm01, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 68004.0, 
1, Farm02, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 52282.0, 
1, Farm03, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 51134.0, 
1, Farm04, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 38224.0, 
1, Farm05, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 65250.0, 
2, Farm01, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, OPTIMIZATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 34332.0, 
2, Farm02, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, OPTIMIZATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 33778.0, 
2, Farm03, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, IMITATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 44421.0, 
2, Farm04, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 40302.0, 
2, Farm05, 0.4, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 50840.0, 
0, Farm01, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 32971.0, 
0, Farm02, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 49901.0, 
0, Farm03, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 53474.0, 
0, Farm04, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 60370.0, 
0, Farm05, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 47392.0, 
1, Farm01, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, OPTIMIZATION, maize, cattle, pigs, sheep, NA, NA, pigs, sheep, NA, 62433.0, 
1, Farm02, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 70421.0, 
1, Farm03, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 49002.0, 
1, Farm04, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 42992.0, 
1, Farm05, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 46554.0, 
2, Farm01, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, OPTIMIZATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 37051.0, 
2, Farm02, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 44236.0, 
2, Farm03, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, IMITATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 56327.0, 
2, Farm04, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 56021.0, 
2, Farm05, 0.6, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 59963.0, 
0, Farm01, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 28991.0, 
0, Farm02, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 49123.0, 
0, Farm03, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 60136.0, 
0, Farm04, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 37616.0, 
0, Farm05, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 65428.0, 
1, Farm01, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 53261.0, 
1, Farm02, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 65151.0, 
1, Farm03, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 60450.0, 
1, Farm04, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 47449.0, 
1, Farm05, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 45430.0, 
2, Farm01, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 44338.0, 
2, Farm02, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 47726.0, 
2, Farm03, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 51432.0, 
2, Farm04, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 34016.0, 
2, Farm05, 0.8, 0.8, 0.8, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 55328.0, 
0, Farm01, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 56309.0, 
0, Farm02, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 58823.0, 
0, Farm03, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 49559.0, 
0, Farm04, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 64854.0, 
0, Farm05, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 50740.0, 
1, Farm01, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 60099.0, 
1, Farm02, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 47924.0, 
1, Farm03, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 55452.0, 
1, Farm04, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 48139.0, 
1, Farm05, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 54589.0, 
2, Farm01, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 47702.0, 
2, Farm02, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 56224.0, 
2, Farm03, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 60683.0, 
2, Farm04, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 40447.0, 
2, Farm05, 0.2, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 50956.0, 
0, Farm01, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 65069.0, 
0, Farm02, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 53202.0, 
0, Farm03, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 43451.0, 
0, Farm04, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 53389.0, 
0, Farm05, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 50187.0, 
1, Farm01, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 35504.0, 
1, Farm02, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 45561.0, 
1, Farm03, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 65134.0, 
1, Farm04, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 53245.0, 
1, Farm05, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 43448.0, 
2, Farm01, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 66150.0, 
2, Farm02, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 54930.0, 
2, Farm03, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 50978.0, 
2, Farm04, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 57161.0, 
2, Farm05, 0.4, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 33198.0, 
0, Farm01, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 38650.0, 
0, Farm02, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, eggplants, NA, NA, NA, NA, eggplants, NA, NA, 57982.0, 
0, Farm03, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 57443.0, 
0, Farm04, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 54631.0, 
0, Farm05, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, pigs, NA, NA, NA, NA, pigs, NA, NA, 42562.0, 
1, Farm01, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 37119.0, 
1, Farm02, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 41206.0, 
1, Farm03, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 44165.0, 
1, Farm04, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 55717.0, 
1, Farm05, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 37724.0, 
2, Farm01, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, cattle, NA, NA, NA, NA, NA, cattle, NA, NA, 39707.0, 
2, Farm02, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, eggplants, NA, NA, NA, NA, NA, eggplants, NA, NA, 53317.0, 
2, Farm03, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 29644.0, 
2, Farm04, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, wheat, NA, NA, NA, NA, NA, wheat, NA, NA, 53778.0, 
2, Farm05, 0.6, 0.2, 1.0, 0.2, 0.2, 0.8, REPITITION, pigs, NA, NA, NA, NA, NA, pigs, NA, NA, 52978.0, 
0, Farm01, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, IMITATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 43042.0, 
0, Farm02, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, IMITATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 48742.0, 
0, Farm03, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, wheat, NA, NA, 44013.0, 
0, Farm04, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, maize, wheat, cattle, 56398.0, 
0, Farm05, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, cattle, sheep, NA, 68111.0, 
0, Farm06, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, cattle, NA, NA, 50047.0, 
0, Farm07, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, wheat, cattle, NA, 41619.0, 
0, Farm08, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, pigs, NA, NA, 28567.0, 
0, Farm09, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, EXIT, NA, NA, NA, NA, NA, NA, NA, NA, NA, 39553.0, 
0, Farm10, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, EXIT, NA, NA, NA, NA, NA, NA, NA, NA, NA, 54470.0, 
0, Farm11, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, NA, NA, NA, 43857.0, 
0, Farm12, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, IMITATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 57465.0, 
0, Farm13, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, pigs, NA, NA, 50991.0, 
0, Farm14, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, NA, NA, NA, 55511.0, 
0, Farm15, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, cattle, NA, NA, 69755.0, 
0, Farm16, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, wheat, sheep, pigs, 57118.0, 
0, Farm17, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, pigs, sheep, NA, 57115.0, 
0, Farm18, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, cattle, NA, NA, 52597.0, 
0, Farm19, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, REPITITION, NA, NA, NA, NA, NA, NA, pigs, NA, NA, 56748.0, 
0, Farm20, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, IMITATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 46767.0, 
1, Farm01, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, IMITATION, cattle, pigs, sheep, NA, NA, NA, pigs, sheep, NA, 45233.0, 
1, Farm02, 0.2, 0.2, 0.8, 0.2, 0.2, 0.7, 0.8, 0.5, IMITATION, pigs, sheep, NA, NA, NA, NA, sheep, NA, NA, 56431.0, 
